Date,Action,Price,Shares,Cash Remaining,Total Value
2022-11-02,Buy,214.97999572753906,465.0,34.30198669433594,100000.0
2022-11-08,Sell,191.3000030517578,465.0,88988.80340576172,177943.3048248291
2022-12-06,Buy,179.82000732421875,494.0,157.71978759765625,88988.80340576172
2022-12-09,Sell,179.0500030517578,494.0,88608.42129516602,177059.12280273438
2023-01-19,Buy,127.16999816894531,696.0,98.10256958007812,88608.42129516602
2023-03-03,Sell,197.7899932861328,696.0,137759.93789672852,275421.77322387695
2023-03-28,Buy,189.19000244140625,728.0,29.616119384765625,137759.93789672852
2023-04-14,Sell,185.0,728.0,134709.61611938477,269389.61611938477
2023-05-15,Buy,166.35000610351562,809.0,132.461181640625,134709.61611938477
2023-07-28,Sell,266.44000244140625,809.0,215682.42315673828,431232.38513183594
2023-08-31,Buy,258.0799865722656,835.0,185.63436889648438,215682.42315673828
2023-09-27,Sell,240.5,835.0,201003.13436889648,401820.6343688965
2023-10-12,Buy,258.8699951171875,776.0,120.01815795898438,201003.13436889648
2023-10-20,Sell,211.99000549316406,776.0,164624.2624206543,329128.5066833496
2023-11-14,Buy,237.41000366210938,693.0,99.1298828125,164624.2624206543
2024-01-08,Sell,240.4499969482422,693.0,166730.97776794434,333362.8256530762
2024-02-21,Buy,194.77000427246094,856.0,7.8541107177734375,166730.97776794434
2024-03-07,Sell,178.64999389648438,856.0,152932.2488861084,305856.643661499
2024-04-04,Buy,171.11000061035156,893.0,131.01834106445312,152932.2488861084
2024-04-10,Sell,171.75999450683594,893.0,153512.69343566895,306894.36853027344
2024-05-02,Buy,180.00999450683594,852.0,144.17811584472656,153512.69343566895
2024-05-22,Sell,180.11000061035156,852.0,153597.89863586426,307051.6191558838
2024-05-29,Buy,176.19000244140625,871.0,136.40650939941406,153597.89863586426
2024-06-11,Sell,170.66000366210938,871.0,148781.26969909668,297426.13288879395
2024-06-17,Buy,187.44000244140625,793.0,141.34776306152344,148781.26969909668
2024-07-29,Sell,232.10000610351562,793.0,184196.6526031494,368251.9574432373
2024-08-22,Buy,210.66000366210938,874.0,79.80940246582031,184196.6526031494
2024-09-09,End,217.2801055908203,874.0,79.80940246582031,189982.62168884277
